X	Y	Z
4.47300000000000	954.439000000000	300
17.9050000000000	929.649000000000	300
34.3590000000000	908.749000000000	300
49.3900000000000	887.483000000000	300
63.3840000000000	871.940000000000	300
77.2160000000000	858.808000000000	300
90.5530000000000	841.793000000000	300
106.431000000000	823.358000000000	300
128.090000000000	805.772000000000	300
144.382000000000	788.409000000000	300
165.594000000000	772.996000000000	300
183.959000000000	757.420000000000	300
204.737000000000	741.681000000000	300
224.655000000000	727.469000000000	300
241.604000000000	715.749000000000	300
264.144000000000	703.704000000000	300
279.636000000000	696.737000000000	300
296.077000000000	690.620000000000	300
309.468000000000	689.669000000000	300
311.568000000000	700.866000000000	300
307.645000000000	719.206000000000	300
301.972000000000	730.701000000000	300
292.742000000000	743.480000000000	300
280.957000000000	765.412000000000	300
267.756000000000	781.552000000000	300
259.142000000000	796.625000000000	300
245.805000000000	814.551000000000	300
237.883000000000	833.760000000000	300
225.305000000000	852.276000000000	300
215.370000000000	881.901000000000	300
204.812000000000	900.248000000000	300
200.244000000000	922.940000000000	300
193.352000000000	949.496000000000	300
186.650000000000	976.907000000000	300
182.102000000000	1003.74800000000	300
174.363000000000	1041.43300000000	300
167.973000000000	1069.97100000000	300
164.055000000000	1088.67100000000	300
159.278000000000	1117.33200000000	300
156.032000000000	1139.80700000000	300
153.321000000000	1169.43800000000	300
152.250000000000	1193.07400000000	300
149.329000000000	1231.39700000000	300
147.215000000000	1259.72500000000	300
145.080000000000	1294.91100000000	300
144.687000000000	1328.13500000000	300
145.656000000000	1351.49900000000	300
145.229000000000	1379.41300000000	300
145.141000000000	1403.84300000000	300
146.869000000000	1419.46000000000	300
149.885000000000	1434.01800000000	300
3.80200000000000	785.918000000000	350
18.9750000000000	766.573000000000	350
42.9520000000000	743.908000000000	350
70.3380000000000	723.273000000000	350
90.0850000000000	707.459000000000	350
109.671000000000	694.734000000000	350
130.110000000000	681.148000000000	350
148.021000000000	667.201000000000	350
167.776000000000	653.274000000000	350
193.345000000000	634.955000000000	350
211.758000000000	620.995000000000	350
226.057000000000	607.584000000000	350
245.832000000000	587.289000000000	350
