4245.681	1225.573
4224.356	1256.234
4203.674	1298.419
4187.946	1361.698
4180.023	1417.042
4184.115	1485.706
4193.162	1547.047
4206.081	1610.550
4226.943	1653.695
4238.720	1678.378
1115.233	3245.070
1160.931	3218.673
1198.625	3194.072
1267.574	3155.251
1305.087	3135.791
1369.081	3123.041
1437.809	3108.088
1493.477	3105.334
1569.627	3098.949
1637.272	3091.197
1730.273	3085.037
1815.812	3078.876
1900.428	3070.819
1990.219	3057.028
2085.126	3050.868
2176.182	3045.972
2247.357	3035.385
2306.135	3031.264
2351.873	3032.549
2419.959	3031.162
2488.406	3022.900
2546.642	3022.900
2604.276	3026.429
2659.804	3025.165
2721.170	3023.900
2796.839	3018.902
2874.514	3015.006
2934.896	3015.169
2997.686	3015.169
3062.081	3007.213
3134.159	3005.132
3193.739	3003.745
3250.531	2996.442
3310.673	2982.856
3385.559	2978.409
3465.642	2977.144
3516.395	2974.064
3569.275	2962.335
3655.275	2954.542
3722.478	2945.566
3761.918	2941.547
