X	Y	Z
2707.02600000000	2761.08200000000	200
2754.92300000000	2740.13000000000	200
2796.66400000000	2725.60100000000	200
2854.28600000000	2701.51000000000	200
2915.51400000000	2684.02500000000	200
2941.33800000000	2669.89800000000	200
2987.19500000000	2654.96800000000	200
3038.55200000000	2646.60900000000	200
3094.66200000000	2634.05200000000	200
3134.54600000000	2629.30700000000	200
3172.20800000000	2621.24000000000	200
3208.15700000000	2612.29600000000	200
3272.70000000000	2602.42300000000	200
3296.99400000000	2604.72200000000	200
3331.92500000000	2597.82300000000	200
3373.77500000000	2590.94300000000	200
4001.80700000000	1727.24600000000	200
3967.53200000000	1698.13500000000	200
3936.24400000000	1671.26900000000	200
3911.71300000000	1634.93000000000	200
3874.83400000000	1588.75400000000	200
3850.12100000000	1558.56600000000	200
3807.88800000000	1537.08400000000	200
3768.78800000000	1513.41200000000	200
3729.90600000000	1508.57500000000	200
3661.90300000000	1499.92400000000	200
3619.19700000000	1482.01900000000	200
3558.38700000000	1468.16700000000	200
3494.53700000000	1417.57300000000	200
3440.50300000000	1377.85900000000	200
3376.58000000000	1337.85100000000	200
3341.34000000000	1321.38800000000	200
3298.63400000000	1294.54000000000	200
3254.37900000000	1276.07000000000	200
3204.57000000000	1252.89100000000	200
3170.53300000000	1219.27100000000	200
3162.39200000000	1190.76300000000	200
3159.78800000000	1149.95200000000	200
3172.31700000000	1111.04000000000	200
3197.74100000000	1087.34900000000	200
3234.38300000000	1064.86400000000	200
3287.45200000000	1048.74800000000	200
3309.77900000000	1034.95000000000	200
3349.62700000000	1021.95500000000	200
3380.18600000000	1012.37300000000	200
3417.04600000000	1003.42900000000	200
3458.31400000000	1011.47800000000	200
3508.46900000000	1010.36500000000	200
3547.11500000000	1024.74700000000	200
3600.42000000000	1038.83700000000	200
3641.57900000000	1049.60600000000	200
3703.53500000000	1067.40100000000	200
3752.52400000000	1068.91600000000	200
3810.67500000000	1067.27300000000	200
3865.41900000000	1062.47300000000	200
3914.28100000000	1053.65700000000	200
3973.61500000000	1033.30700000000	200
3997.98200000000	1026.40800000000	200
1001.99100000000	2754.93100000000	300
1053.78500000000	2719.59700000000	300
1099.02300000000	2694.77500000000	300
1140.45400000000	2666.57700000000	300
1190.42700000000	2647.39400000000	300
1256.90000000000	2631.22300000000	300
1304.83300000000	2632.48300000000	300
1340.09100000000	2635.01900000000	300
1385.73000000000	2647.41300000000	300
1431.80500000000	2656.84800000000	300
1485.27500000000	2678.20200000000	300
1530.11200000000	2672.43500000000	300
1592.94200000000	2666.17500000000	300
1681.52500000000	2653.85500000000	300
1745.83000000000	2640.54900000000	300
1804.14400000000	2627.68200000000	300
1884.51200000000	2615.98300000000	300
1963.15000000000	2609.23000000000	300
2056.66700000000	2596.29000000000	300
2120.62700000000	2582.89400000000	300
2194.51200000000	2574.64400000000	300
2290.70600000000	2569.42400000000	300
2399.37500000000	2547.50300000000	300
2464.06400000000	2536.77200000000	300
2568.83600000000	2517.18800000000	300
2672.33300000000	2499.04600000000	300
2774.88300000000	2475.28300000000	300
2827.60600000000	2462.19700000000	300
2888.96100000000	2461.57600000000	300
2944.03300000000	2456.75800000000	300
2987.15900000000	2445.46000000000	300
3020.77800000000	2431.44300000000	300
3061.46200000000	2427.55500000000	300
3108.41200000000	2427.55500000000	300
3150.62700000000	2430.00100000000	300
3187.34200000000	2434.91100000000	300
3250.13600000000	2432.15500000000	300
3329.66600000000	2435.93300000000	300
3403.95200000000	2424.32400000000	300
3997.43600000000	756.195000000000	300
3954.54700000000	787.807000000000	300
3914.64600000000	821.845000000000	300
3873.74200000000	843.382000000000	300
3810.18300000000	858.878000000000	300
3735.36900000000	863.879000000000	300
3682.00900000000	872.329000000000	300
3626.95500000000	871.690000000000	300
3563.88800000000	868.752000000000	300
3506.13800000000	858.604000000000	300
3459.95300000000	843.893000000000	300
3413.67700000000	818.670000000000	300
3338.22600000000	807.554000000000	300
3269.31300000000	802.335000000000	300
3199.83500000000	816.169000000000	300
3147.54900000000	834.548000000000	300
3091.82200000000	851.212000000000	300
3025.62200000000	870.102000000000	300
2961.51700000000	893.537000000000	300
2898.08500000000	902.298000000000	300
2833.17900000000	908.668000000000	300
2737.51300000000	909.398000000000	300
2642.08300000000	909.069000000000	300
2569.45500000000	913.231000000000	300
2503.71100000000	918.834000000000	300
2458.50900000000	933.545000000000	300
2415.20100000000	955.246000000000	300
2396.77100000000	990.379000000000	300
2391.63500000000	1040.46200000000	300
2417.97000000000	1078.31500000000	300
2446.08900000000	1114.01500000000	300
2477.08500000000	1136.99400000000	300
2521.52100000000	1160.50100000000	300
2558.41800000000	1182.29400000000	300
2602.85500000000	1212.66400000000	300
2664.48300000000	1233.03300000000	300
2710.75900000000	1256.17600000000	300
2781.51200000000	1290.16000000000	300
2825.69400000000	1300.85500000000	300
2893.04100000000	1319.23500000000	300
2957.63800000000	1344.38500000000	300
3016.62500000000	1365.42900000000	300
